title,singer,lyric,genre
Tần Số Buồn,Hải Lưu, hiện chưa có lời bài hát nào cho tần số buồn do ca sĩ hải lưu trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rap-viet
Back To Hometown,"Sol7, RAP VIỆT",yeah long time no see back to my hometown dcod life bro và anh cũng về nơi đây cũng vào đúng mùa mưa rơi ông anh thì đang gọi là sao giờ này còn chưa tới mẹ nói là thôi mưa gió ở nhà đi đừng có đi chơi ta chia ly mỗi đứa một nơi có phải đó là ý trời đắng cay chạm vào môi ánh đèn đang trôi bầu trời đã chợp tối nơi phố hay ngồi nhưng có người giờ không còn hợp lối chẳng học chung một trường nhưng ra đường là chung lớp rồi sau bao nhiêu lần anh thả mà không mong cá sẽ đớp mồi hiphop saves me còn anh thì đang say she anh về có mấy khi thôi ngồi tới gà nó gáy đi yeah my lady con tim hao gầy anh lấy đi chìm vào đáy ly giấc mộng lu mờ chẳng thấy chi đã bao lâu rời xa thành phố trở về nơi cư ngụ tiếng chuông chùa vẫn vang anh đang ghé ngang thăm sư phụ ngọn gió nó có lay đôi chân vẫn đứng cứng như trụ gốc cây này vẫn đây chỉ có lòng người là không còn như cũ và em biết nhà anh ở ngay đường hai bà trưng có mấy bà hàng xóm nói anh như ông ai mà ưng từ khi em rời xa nỗi cô đơn đã chai và sưng dòng đời đưa đẩy anh vẫn cứ like a diamond anh bỏ chạy bàn anh nghỉ bán hàng anh đi làm nhạc anh muốn ba má anh nhàn em nói em muốn cái nhẫn nạm hạt anh rời bồng sơn anh lên sài gòn mong mình thành đạt thoát ra cạm bẫy rồi trở về nhà ăn cơm đạm bạc ông anh anh vẫn còn làm và thằng em của anh vẫn còn bán để hũ gạo ở trong nhà băng nó sẽ tăng theo từng tháng gác lại chuyện làm ăn lên quảng trường rồi trượt ván đêm về nằm mơ một nỗi nhớ lại bước sang lướt qua cầu bồng sơn anh đang lên ga con đường về nhà ngắn thêm bờ biển quy nhơn mênh mông bao ngày qua giờ này đã vắng em bao ánh sao đêm sáng mây bên thềm ngày có nắng trời hồng biển xanh như anh là anh dù anh có thắng game anh có vài người bạn anh ở bồng sơn mỗi người mang trong mình một giấc mộng lớn chắp đôi tay anh cảm tạ một công ơn chắp đôi tay anh cảm tạ một công ơn,rap-viet
Wyoming,Phước Phật,high demand no drum disband its gonna rain in south la windy city blow my wings float across to nyc drink with champs in miami skip the club in atl make it rain in tennessee meet with ovo in omaha take a jet from wyoming i seen damn near everything i used to sleep in viet nam i was born in dmv thought it was the only place to b more is what i grew to see less is what i meant to say took some weight to move a key b i know you came to play took a seat on saturday are you here to take a stand wait i have another plan can you play the piano we can learn to pull some strings we was here on one accord every day i think the lord every year a ford explore lets we take an expedition built to follow intuition good to lead the life you live can i borrow what you give i wont leave you here alone when i turn on my tv its sun rays on everything issa rae on everything hit the club in my city i can do my ne thing yeah yeah i got mass appeal always gotta keep that real green like the everglades we split blunts with a blade rollin 8ths on rollerblades can you manifest with me grown women invest in me universe be testin me universe be blessing me multiverses blessing me 7 chakras 7 keys are you shocked im selling keys midi east by lebanese she a beast with 2 knees she get the d cause she og she keep it g without od high demand drink with champs in miami make it rain in tennessee skip the club in atl make it rain in tennessee skip the club in atl take a jet from wyoming float across to nyc,rap-viet
An Thần,"Thắng, Low G",tại sao lúc vui em bao giờ cũng đang bận lúc bên anh bao giờ cũng đang giận nói chung anh chỉ là thuốc an thần với em anh chỉ là thuôc an thần nói em không nên dùng quá 2 lần nói em chỉ nên dùng lúc em cần với em anh chỉ là thuốc an thần với em anh chỉ là thằng bạn thân thuốc tây cùng lá cây nó chỉ làm em quá cao để xuống đây anh chỉ mơ những đắm say đắm say em còn không muốn nắm tay nắm tay nói anh nghe chuyện đắng cay đắng cay mỗi khi theo người ta đi đó đậy cùng gió mây em tìm anh chỉ khi nó uống say rồi quá tay cơn giận nguôi rồi mai em sẽ bay em sẽ bay và sao lúc vui em bao giờ cũng đang bận lúc bên anh bao giờ cũng đang giận nói chung anh chỉ là thuốc an thần với em anh chỉ là thuốc an thần nói em không nên dùng quá 2 lần nói em chỉ nên dùng lúc em cần với em anh chỉ là thuốc an thần với em anh chỉ là thuốc an thần với em anh chỉ là đi tìm anh khi hơi toàn men em lại đi kể về nó với anh ở trên con audi đen hôm trước anh mang cây thông từ trên vincom bà triệu đuổi đêm thì em tự nhiên ngồi cạnh lò sưởi xong rồi khóc lóc vì ghen anh đưa em lv bag lúc em buồn em thích nó đầu bếp anh làm thịt cừu lúc em buồn em thích nó em chơi trong biệt thự vin của anh để nỗi buồn vứt xó nhưng sáng hôm sau thức dậy thì cái nắm tay cũng không cho xong lại uh đẩy anh đi ra xa bỏ anh ở trong căn phòng toàn nhạc của frank sinatra em quay lại ăn chơi với đám bạn ở circle k nghệ sĩ nhà tập thể tuy bất cần nhưng nó cuốn hút rồi lúc nó chán em theo con khác thì anh lại phải đón em anh chán nghe chuyện drama nhưng vì em mà phải đón xem tại sao lúc vui em bao giờ cũng đang bận lúc bên anh bao giờ cũng đang giận nói chung anh chỉ là thuốc an thần với em anh chỉ là thuốc an thần nói em không nên dùng quá 2 lần nói em chỉ nên dùng lúc em cần với em anh chỉ là thuốc an thần với em anh chỉ là thuốc an thần với em anh chỉ là thuốc an thần,rap-viet
Lạ Quá,"B Ray, Karik",damn lạ quá homie ngồi xuống nói nghe chuyện gì đã xảy ra homie điều gì tạo nên khoảng cách giữa chúng ta homie là vì tiền mấy con ghệ hay chuyện đã qua homie vào khoảng cái lúc mày đánh mất mình là ai và 1 đám nịnh thần rót mật ngọt vào đầy tai mày đổ mọi tội lỗi vào khoảnh khắc mà mày high nhưng nếu là đàn ông thì phải nhận khi mày sai mày xây nhà tường cao dù vẫn biết là không thể tránh phiền homie tao biết là mày không hung dữ nhưng chẳng hiền hater muốn ăn nhưng mà cắn 1 miếng là đắng liền thằng nào cũng láo nhưng chỉ có nhà báo là ăn tiền nên khi mày sẵn sàng thì nhớ là tao đợi tụi nó nhớ thằng bảo cũ nhưng tao thách kiếm ra được thằng bảo mới boy hit me back whats up letes be real cause homie you fcked up now tell me why youre switching sides and try to find love in these hoes see you right back on that bullsht and that is getting old but i still fck with you my homie and fck you if you dont said ill fck with you my homie and fck you if you dont now tell me vì nể anh nên em gọi tiếng anh trai hết mình và không quan tâm chuyện ngày mai anh thành bại mỗi lần anh ngu em nhịn bởi vì em ghét tranh cãi nhưng hạ bệ anh em của mình để cưa được gái fck như vậy là anh sai em tự hỏi sao gần đây anh lạ quá bản chất con sói đầu đàn vì đâu mà tha hóa kể từ khi đi theo số đông gặp tụi nhỏ toàn bị chỉnh từ số 1 trở về số 0 đứng trên đỉnh lại bị khinh thật ra em vẫn quý anh như con cháu trong nhà nên việc chỉnh đốn lại mình anh cứ việc mà thong thả có điều là mọi thứ giờ đã khác trước nghĩa xưa nay đã bạc nhược anh có kêu ca nát nước vị trí cũ khó mà đạt được anh trai à không phải em gây khó dễ nhưng đã quê thì khó huề em nói thế này cho có lệ đã làm anh thì sống sao cho tụi nhỏ nể đừng để vừa nhắc tên anh đứa nào cũng muốn bỏ về khi mũi giáo hướng vào tao và tao thấy mày là kẻ đứng đằng sau đau đấy vì tao vẫn tưởng là tao đã thay đổi nhưng sự thật là thì mày để tiền che mờ mắt và suy nghĩ bằng đầu nhưng cái đầu mày sử dụng bị ngậm mất còn đâu mày đặt mọi giá trị vào những thứ ruồi bâu thì thời gian sẽ cho thấy ai là kẻ cười lâu,rap-viet
Lưu Ly,"DT, RAP VIỆT", hiện chưa có lời bài hát nào cho lưu ly do ca sĩ dt rap việt trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rap-viet
Phi Hành Gia,"Renja, Slow T, Lil Wuyn, V.A",màn đêm xuống gần chót có thằng uống rồi rót chơi cho tới hồi kết sayno số thần chết lên trên đây và lái hoa này vẫn còn hái đưa tao đi cùng với những thứ mới đưa tao đi cùng với homie balling with og vững tay lái thật chặt tao lái đến nơi nỗi đau quên đi đưa tao đi cùng với homie kiếm tiền lớn khi khi lướt như trên mặt sóng lướt qua cơn od lướt qua hết quá khứ từng bước từng bước mà tao đi qua bao nhiêu cạm bẫy đang ở phía trước mưa đang trút nước cơn mưa ngang qua muốn được cầm dollar chill cùng với sofa homie tao như là thuyền trưởng nó lái con tàu này lái đi xa đưa tao bay cao ra xa khỏi hành tinh này nơi có sự thật đó và giả dối đang được phơi bày thoát khỏi vật chủ thấy được ánh sáng nơi vẫn không quyền hạn nơi ngọn lửa này ko bao giờ tàn nơi tụi tao tới với những thứ mới y như là vàng có quá nhiều vấn đề mà tao đang mang muốn sống trong 1 đời yeah in my gang bước lên đỉnh vinh quang và tao đang đang tiến ra khỏi vũ trụ và đi lang thang khi mà homie bỏ vào nước homie đóng cửa trc đi tìm những điều ước thêm vào tiền đầy túi vững vàng như là núi ngẩng cao ko hề cuối bia này vẫn còn khui đêm hôm đó khi tụi tao chung 1 chuyến đường chân trời phóng đi chung 1 tuyến cùng cây đàn sugar cane đang luyến nhạc át luôn tiếng cua thằng ae đang nghiến phóng lên không gian nơi hành tinh này màu tím noi đây của chúng mình nên k ngại thằng nào kím cuộc chơi này còn dài và đá văng thằng nào điếm terry cho mày thấy rằng nơi đây thằng nào hiếm hiphop cl đang dc rộng mở mạch điện nơi tụi tao ko một cọng hở mấy thằng nhóc nhỏ này thích động hở lông tụi mày nó trụi ko một cọng hở khuyến cáo xích ra vì nó nóng ko thích tụi tao vì nó bóng còn mấy thằng chung gu tụi nó phóng đừng nói nhạc tụi tao va nó giống phóng ra ngoài kia phóng ra ngoài kia cùng vs mấy thằng nhóc thích đi sớm và về khuya nhưng là người tốt và nó ko hề dốt dù nhạc có chửi thề kèm khói trắng và mùi bia đứng lại gần nhau tay choàng qua cổ vẫn còn cùng đồng hành bao chuyến tới nói cho nhau nghe điều ngày thường ko thể để có thêm những lần lưu luyến mới vị đắng từ đời như là handy nhưng sau vị đắng đó mày sẽ quên đi thoát khỏi mặt đất cùng vs homie bay xuyên tầng khí quyển nhờ khói og my homebois on the mic you know that shi fly poppin it so high imma fly high to the sky getting money drinking hennessy were asian got to say you cant touch me i say a b c d e pull up in the night cant believe what we see l s t h c push me to the sky with a great fantasy đêm nay nguyên team mất hút trên chuyen tau dang bay cao have a good time good trip không để 1 ai lao đao ta chỉ nói điều cần thiết lắng nghe việc đầu tiên và tìm ngay nhạc cần viết những khi trong đầu cần biên okay ya cảm giác mọi thứ không gian thay đổi như khi được đeo vr từ lúc chiều tối tới khi trời sáng chỉ tựa vài giờ trôi qua hành trình còn dài cùng những người bạn tụi tao chinh phục mặc lời bàn tán chuyện chẳng đáng màn đến khi nói chán cũng ra đi nên trước khi đam mê này ra đi thì tốt nhất nên ghi lại dấu ấn giờ không muốn bỏ phí thêm 1 giây nào đặc biệt cố gắng vì bản thân đặt cược tất cả vào phía trước đặt lại ganh ghét ở phía sau tao như là phi hành gia và mang giấc mơ này bay thật cao cùng những vì sao ngoài kia bay xa đến nơi ngút ngàn ánh sáng lòe hòe đèn đường vào nhìn vào màn đêm như đang xua tan đi nỗi khát vọng ngày ngày từng ngày tìm 1 cuộc vui nhưng không bon chen tao đứng vẫy chào mọi điều muộn phiền rồi vào cuộc chơi tâm không hoang mang nhìn thấy bóng đèn dần dần càng mờ còn mình thì bay luôn trong không gian đêm đến kiếm tiền làm nhạc ầm ầm ngày thì xiêm y như con ngoan nóng tỏa nhiệt người còn rần rần người ngoài nhìn vô như đông đang sang cứ mỉm cười vì đời còn dài màâu lo thêm chi man cầm chắc tay lái để cho an toàn rồi bay vô trong không gian sống là biết người này người nào biết trước sau muốn có được tiền nhiều mà ngồi nhìn chẳng có đâu cứ sống tốt ngày ngày mình càng tiến bước lên cố gắng làm điều mình ghiền họ biết đến tên lỡ có 1 ngày mà thằng này nằm dài thì đừng vội quên đi tên nhau im kain 1 thế giới chìm vào 1 vùng màu hồng ngập điều phù hoa đang xoay xung quanh ta nhịp bước cứ từ từ mà chẳng tầm thường và diệt dần đi bên trong tâm ma mình rút kết được nhiều lần mình buồn thì cần bài ca cho cơn đau trôi qua á à,rap-viet
Đẹp Trai,"ShanHao, RAP VIỆT",uầy uầy uầy uầy đấy là ai đấy là ai đấy là ai quá đẹp trai quá đẹp trai quá đẹp trai bước đi vào club sơ mi khuyên tai đẹp trai như a jay tee vuốt keo 502 làm cho em quẩy hết mình và tung hết tính thấy kết dính quên mất luôn mai là thứ 2 để làm được điều cho a phải chải chuốt bảnh trai như lee min ho tối về nằm check facebook hàng loạt nàng thơ xin info bảnh nhất đêm nay khiến cho em thêm say nhớ tên anh shanhao em thấy cô đơn và lạc lõng khi trở về muốn gọi điện bảo anh sang house yêu màu hồng ghét sự giả dối thế mà họ bảo anh nói điêu nhưng sự thật họ không muốn công nhận vì anh đẹp trai thì mới có nhiều đứa yêu đẹp trai lại bab boy style lạnh lùng như ice and that what they said nguyên team đi vào hết trong bar nước mang ra vì đã làm cho nó trở nên cháy khét bảnh sẵn ngay tong gene nhưng sửa soạn để em đợi hơi low ngọt ngào như ly whiskey but sory bae thôi anh không chơi đâu vì anh uầy uầy đẹp trai đẹp trai vì anh uầy uầy đẹp trai đẹp trai vì anh uầy uầy đẹp trai đẹp trai vì anh uầy uầy đẹp trai đẹp trai body săn chắc 6 múi sức đề kháng anh cao em thích săn bắt anh á vì em thích anh hao anh bảnh không chảnh khi mà em nhìn thấy anh cứ tự như một khung tranh anh hiểu một điều răng sắc đẹp này sẽ phải nhận hết tất cả những lời đàm tiếu ở xung quanh bảnh nhất đêm nay khiến cho em thêm say nhớ tên anh shanhao em thấy cô đơn và lạc lõng khi trở về muốn gọi điện bảo anh sang house yêu màu hồng ghét sự giả dối thế mà họ bảo anh nói điêu nhưng sự thật họ không muốn công nhận vì anh đẹp trai thì mới có nhiều đứa yêu sở hữu vẻ đẹp tiềm tàng khiến cho em thốt lên là ối dồi ôi ngàn lần tỏ tình nhưng em cũng chỉ nhận được lời từ chối mà thôi biết rằng nói điều đó sẽ làm cho con tim của em đau nhưng còn có rất nhiều người xếp hàng nên hồ sơ của em có lẽ để sau vì anh sao nhờ đẹp trai đẹp trai vì anh sao nhờ đẹp trai đẹp trai vì anh sao nhờ đẹp trai đẹp trai vì anh sao nhờ đẹp trai đẹp trai,rap-viet
Mùa Đông Có Em,"Free, RAP VIỆT",anh luôn nhớ mãi ngày hôm đó trời đêm đông nơi mà vi vu trời gió nơi có em chờ em trông cả hai đều ngại ngùng ta chẳng thể nào nói chuyện dù em đang ở đối diện hay cả khi em ngồi bên hông vì anh biết vài lần gặp gỡ em sẽ chẳng tin vào duyên tình hay lòng này đang khao khát chỉ muốn em thuộc sở hữu riêng mình nét dịu dàng tinh tế làm anh phải bắt đầu tuyên dương em là bức phức họa tình ái đã tạo nên bộ sắc màu uyên ương nhưng mà anh lại chẳng thể hiểu nổi vì tâm trí em như vũ trụ bao la anh chỉ là tinh cầu này nhỏ bé thầm mong cảm xúc này sẽ được giao thoa hoặc chỉ cần có mội vì sao sáng gợi ý cho anh phần nào đó về em để anh có thể biết đủ chỉ một chút cũng đủ cho niềm vui này kể tên em trên môi dẫu biết mù đông rất lạnh cho những con người ôm một nỗi tương tư nhưng rồi chỉ mong rằng ngày mai thức dậy vẫn được thấy em ở bên đời hy vọng em không còn buồn mỗi khi đêm tới hy vọng em sẽ có giấc ngủ ngon trên gối hy vọng là đường em về mây không giăng lối hy vọng em có thể nghe những lời anh nói anh muốn mình được bay lên bầu trời để hái tặng em ngôi sao đêm đức kết hoạn thiện bản tình ca hoàn thiện sau đó anh lấy đem trao em tương tư ấp ủ đã bấy lâu thời khắc cả đời mà anh mong nhưng lại sợ em thẳng thấy đâu liệu rằng em có yêu anh không vì chỉ mình anh say giấc hồng trần bao đêm ôm trọn thứ luyến ái tình vương nếu có một ngày ta được ở bên nhau anh nguyện dánh đổi cả vùng thái bình dương anh biết điều đó là không thể hiểu được tâm trí em không dễ chỉ ước ngân hà này quan sát và chứng giám rằng tình cảm này chỉ dành cho người con gái mình thương ngước lên trời cao anh chắp tay nguyện cầu em là lý do thế giới này nhiệm màu anh biết một mai giữa dòng đời đầy biến cố xuất hiện lý do nào đó khiến em phải quên anh anh vẫn đứng đây và sẽ đợi em mỗi giây chờ khoảnh khắc em vô tình có thể nhớ được tên anh,rap-viet
Độ Tộc 2,"Masew, Độ Mixi, Phúc Du, V.A",ánh đèn sáng ở trên trên màn hình 2 giờ đêm vẫn còn lung linh trời khuya như là bạn mình nghe tiếng nhạc còn đập rung rinh ngay bên loa đêm nay thêm say thêm ca chỉ cần anh em ngay bên ta anh vẫn cày cuốc hăng say như ngày trước dù không biết sau này họ sẽ nhớ đến hay quên ta nhớ khi xưa những ngày đói khi mà động lực duy nhất là những lời cười khen giờ còn hơn ông thầy bói vì mỗi ngày ta đều có hàng vạn nghìn người xem bốn bề đều là những người anh và người em gặp nhau mỗi đêm ở trong kênh chat nhỏ chấm đỏ tắt vào lúc mặt trời lên nhưng đam mê không ngủ quên ở trong căn gác nhỏ ngày từ ngày qua đêm từ đêm qua tối cứ trôi qua ngày ngồi một mình nơi đây giờ ngàn vạn anh em dù ở phương xa cũng như một nhà from mixi with love và ta thức trắng đã biết bao đêm lời động viên đó thì làm sao quên đời nhiều mặn đắng mình gạt sang bên vươn qua góc tối mặt trời đang lên có những lời khinh có cả lời có những lời yêu thế là lời nhiều ta không cần khoe không cần nhiều lời thôi không cần care ta cứ chiều đời làm cái nghề này 10 ngày dài cứ như là 10 năm tôi sinh ra là người tày nhưng họ nói tôi là người chăm chăm vợ chăm con chăm làm trăm phần trăm mỗi khi nâng chén chăm onl cho vài trăm ngàn anh em lâu lâu lại nghe tôi chém không ồn ào và cũng không ầm ĩ dân đông lào nhưng mà sống giờ mỹ miễn là được chơi cùng huynh đệ thì thôi nó cứ phải gọi là hợp lý mixigaming on the mic điều tôi muốn nói không có gì đâu chỉ có tình yêu dành cho độ tộc và khóa hết mồm mấy thằng trẻ trâu ok ngày từ ngày qua đêm từ đêm qua tối cứ trôi qua ngày ngồi một mình nơi đây giờ ngàn vạn anh em dù ở phương xa cũng như một nhà from mixi with love bao năm cày cuốc đã nhiều lương 7 8 triệu vẫn ngồi livestream bắn nhau đá bóng xem phim hú lên một tiếng cả team chơi cùng đêm đêm anh lại tiệc tùng âm thanh ánh sáng đã bùng lên chưa độ này vẫn giống độ xưa vẫn đợi donate vì chưa có tiền,rap-viet
